#          BLOCK:      ACTUAL_TE:         TE_AVE:          ERROR:
             637         1.59214          1.5911     0.000394047
             638         1.59194          1.5911     0.000393432
             639         1.59174         1.59111     0.000392817
             640         1.59155         1.59111     0.000392204
             641         1.59135         1.59111     0.000391592
             642         1.59116         1.59111     0.000390982
             643         1.59097         1.59111     0.000390374
             644         1.59078         1.59111     0.000389769
             645          1.5906         1.59111     0.000389165
             646         1.59044          1.5911     0.000388564
             647         1.59028          1.5911     0.000387966
             648         1.59014          1.5911      0.00038737
             649         1.59002          1.5911     0.000386776
             650         1.58991          1.5911     0.000386186
             651         1.58981          1.5911     0.000385598
             652         1.58972         1.59109     0.000385012
             653         1.58966         1.59109     0.000384429
             654          1.5896         1.59109     0.000383848
             655         1.58957         1.59109     0.000383269
             656         1.58955         1.59108     0.000382691
             657         1.58955         1.59108     0.000382116
             658         1.58955         1.59108     0.000381543
             659         1.58956         1.59108      0.00038097
             660         1.58959         1.59108       0.0003804
             661         1.58962         1.59107     0.000379831
             662         1.58966         1.59107     0.000379263
             663         1.58972         1.59107     0.000378696
             664         1.58977         1.59107     0.000378131
             665         1.58983         1.59107     0.000377567
             666         1.58989         1.59106     0.000377004
             667         1.58996         1.59106     0.000376443
             668         1.59003         1.59106     0.000375882
             669         1.59011         1.59106     0.000375323
             670         1.59019         1.59106     0.000374765
             671         1.59027         1.59106     0.000374208
             672         1.59036         1.59106     0.000373653
             673         1.59046         1.59105     0.000373099
             674         1.59055         1.59105     0.000372546
             675         1.59065         1.59105     0.000371995
             676         1.59076         1.59105     0.000371445
             677         1.59087         1.59105     0.000370896
             678         1.59099         1.59105     0.000370349
             679         1.59111         1.59105     0.000369804
             680         1.59123         1.59105      0.00036926
             681         1.59136         1.59105     0.000368718
             682         1.59149         1.59105     0.000368178
             683         1.59162         1.59105      0.00036764
             684         1.59175         1.59106     0.000367104
             685         1.59188         1.59106      0.00036657
             686           1.592         1.59106     0.000366038
             687         1.59211         1.59106     0.000365508
             688         1.59221         1.59106     0.000364981
             689          1.5923         1.59106     0.000364456
             690         1.59238         1.59107     0.000363932
             691         1.59245         1.59107     0.000363411
             692          1.5925         1.59107     0.000362892
             693         1.59253         1.59107     0.000362374
