#           BLOCK       VELOCITY:       AVE_POFV:          ERROR:
              16          1.1431        0.405116       0.0176506
              16         1.46969        0.521636       0.0185006
              16         1.79629        0.492235       0.0133441
              16         2.12289        0.396212       0.0141974
              16         2.44949        0.288226       0.0200941
              16         2.77609        0.239371       0.0162532
              16         3.10269         0.15723       0.0124246
              16         3.42929       0.0934674      0.00788073
              16         3.75588        0.054364      0.00516443
              16         4.08248       0.0198419      0.00372979
              16         4.40908      0.00558949      0.00224855
              16         4.73568      0.00425613      0.00187076
              16         5.06228      0.00283417       0.0013729
              16         5.38888     0.000300339     0.000209263
              16         5.71548               0               0
              16         6.04207               0               0
              16         6.36867               0               0
              16         6.69527               0               0
              16         7.02187               0               0
              16         7.34847               0               0
              16         7.67507               0               0
              16         8.00167               0               0
              16         8.32827               0               0
              16         8.65486               0               0
              16         8.98146               0               0
              16         9.30806               0               0
              16         9.63466               0               0
              17        0.163299               0               0
              17        0.489898       0.0997682      0.00862542
              17        0.816497        0.266802       0.0153632
              17          1.1431        0.410965       0.0175545
              17         1.46969        0.516124       0.0182151
              17         1.79629        0.493329       0.0126039
