#T            mu         sigma             E         ERR_E
0.0585226     -0.922346      0.579513       -0.3682     0.0179815
0.0579431      0.508045      0.789997     -0.271498     0.0133105
0.0573694      0.829887      0.640578     -0.425992     0.0207963
0.0568014     -0.118773       1.01014      -0.24806     0.0123149
0.056239       0.97308      0.552047     -0.290761     0.0142072
0.0556822      0.631894      0.714524     -0.355231      0.017343
0.0551309     -0.761891      0.612889     -0.437943     0.0213521
0.0545851      0.763679      0.569462     -0.421337     0.0205492
0.0540446      0.714953      0.570655     -0.394628      0.019245
0.0535095     -0.544655      0.836745     -0.296578      0.014569
0.0529797     -0.682324      0.707608      -0.37529      0.018327
0.0524552     -0.876105       0.59058      -0.41575     0.0203097
0.0519358     -0.729163      0.524162     -0.370341     0.0180935
0.0514216      0.837766      0.561144     -0.411634     0.0200759
0.0509125      0.771861      0.584237     -0.435758     0.0212521
0.0504084      0.364717      0.939475     -0.264247     0.0133067
0.0499093       0.89406      0.576545     -0.392678     0.0191713
0.0494151      0.780211      0.611723     -0.443936     0.0216457
0.0489259      0.740177       0.68716     -0.418284     0.0204176
0.0484415      0.682771      0.617805     -0.402142     0.0196182
0.0479619     -0.908343      0.616517     -0.399369     0.0195135
0.047487      0.862846      0.567333     -0.402504      0.019639
0.0470168      0.815892      0.690157     -0.405445     0.0198833
0.0465513     -0.794038      0.646572     -0.430973     0.0210289
0.0460904     -0.701221       0.70776     -0.379745     0.0185717
0.0456341      0.802191      0.620359     -0.445949     0.0217467
0.0451822      0.847758      0.633362     -0.432433     0.0210971
0.0447349      0.573781      0.729331      -0.30642     0.0149959
0.044292     -0.568075      0.625578     -0.281666     0.0137692
0.0438534      0.817356      0.662362     -0.432107     0.0210903
0.0434192      0.701586      0.590239     -0.407108     0.0198499
0.0429893     -0.828403      0.581581     -0.427988     0.0208854
0.0425637     -0.871822      0.669787     -0.395624     0.0193892
0.0421423      0.778581      0.623512     -0.448313     0.0218546
0.041725      0.743015      0.690727     -0.419775     0.0204948
0.0413119      0.595966      0.655009     -0.318942     0.0155771
0.0409029     -0.790922      0.580449     -0.428829     0.0209287
0.0404979     -0.206963      0.913948     -0.234747     0.0115866
0.0400969      0.691749      0.608768     -0.405369     0.0197799
0.0396999     -0.595134      0.693254     -0.320666     0.0156532
0.0393069      0.797724      0.665546     -0.425441      0.020787
0.0389177      0.965217      0.720551     -0.235019     0.0127479
0.0385324     -0.840075      0.745844     -0.338538     0.0166994
0.0381509      0.910151      0.597633     -0.391709     0.0191368
0.0377731     -0.783048      0.654293     -0.434295     0.0211874
0.0373991     -0.852756      0.556081     -0.394968     0.0192884
0.0370288      0.809636      0.673779     -0.432489     0.0211169
0.0366622     -0.474391      0.783636      -0.24349     0.0120517
0.0362992     -0.773789      0.505195     -0.288655      0.014139
0.0359398      0.813282       0.62527      -0.44494     0.0217011
0.035584     -0.856093       0.61232     -0.430801     0.0210663
0.0352317     -0.755516      0.575362     -0.421679     0.0205688
0.0348829      0.808961      0.653551     -0.431875     0.0210855
0.0345375      -0.87392      0.636377     -0.421809     0.0205803
0.0341955     -0.813309      0.690886     -0.420783     0.0205481
0.033857      0.702633      0.641149     -0.411459     0.0200718
0.0335217     -0.757693       0.59148     -0.436776     0.0213012
0.0331898     -0.693655      0.631855     -0.410346     0.0200246
0.0328612     -0.778797      0.629296     -0.440465     0.0214818
0.0325359     -0.706821      0.646978     -0.412626      0.020122
0.0322137      0.957148      0.594523      -0.34958     0.0170987
0.0318948      0.906978      0.599223     -0.407508     0.0198925
0.031579     -0.809014      0.646801     -0.434857     0.0212208
0.0312663      0.737048      0.551341     -0.398679     0.0194555
0.0309568      0.787071      0.618999     -0.445365      0.021717
0.0306503      -0.61539      0.656651     -0.338631     0.0165373
0.0303468     -0.777938      0.654672     -0.436922     0.0213143
0.0300463      0.753039       0.64876     -0.431833      0.021074
