#          BLOCK:       ACTUAL_T:          T_AVE:          ERROR:
             680         1.28173          1.2753     0.000699297
             681         1.28042         1.27531     0.000698311
             682          1.2791         1.27531     0.000697309
             683         1.27779         1.27532     0.000696298
             684         1.27649         1.27532     0.000695282
             685          1.2752         1.27532     0.000694267
             686         1.27394         1.27532     0.000693258
             687         1.27271         1.27531     0.000692259
             688         1.27152         1.27531     0.000691275
             689         1.27038          1.2753     0.000690308
             690         1.26928         1.27529     0.000689363
             691         1.26825         1.27528     0.000688441
             692         1.26728         1.27527     0.000687543
             693         1.26638         1.27526     0.000686671
