#          BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
             397       -0.590706       -0.578323      0.00186976
             398       -0.589793       -0.578352      0.00186529
             399       -0.588929       -0.578378       0.0018608
             400       -0.588113       -0.578403      0.00185631
             401       -0.587352       -0.578425      0.00185181
             402       -0.586645       -0.578445      0.00184732
             403          -0.586       -0.578464      0.00184283
             404       -0.585417       -0.578481      0.00183835
             405       -0.584897       -0.578497      0.00183388
             406       -0.584434       -0.578512      0.00182942
             407       -0.584032       -0.578525      0.00182497
             408       -0.583692       -0.578538      0.00182054
             409       -0.583409        -0.57855      0.00181613
             410       -0.583179       -0.578561      0.00181174
             411       -0.583001       -0.578572      0.00180736
             412        -0.58287       -0.578583      0.00180301
             413       -0.582785       -0.578593      0.00179867
             414       -0.582725       -0.578603      0.00179435
             415       -0.582697       -0.578613      0.00179006
             416       -0.582694       -0.578622      0.00178578
             417       -0.582708       -0.578632      0.00178152
             418       -0.582729       -0.578642      0.00177729
             419       -0.582751       -0.578652      0.00177307
             420       -0.582765       -0.578662      0.00176888
             421       -0.582771       -0.578671       0.0017647
             422       -0.582755       -0.578681      0.00176055
             423        -0.58271       -0.578691      0.00175641
             424       -0.582636         -0.5787       0.0017523
             425       -0.582526       -0.578709       0.0017482
             426       -0.582372       -0.578717      0.00174411
             427        -0.58217       -0.578726      0.00174005
             428       -0.581916       -0.578733        0.001736
             429       -0.581614        -0.57874      0.00173196
             430       -0.581253       -0.578746      0.00172795
             431       -0.580832        -0.57875      0.00172394
             432       -0.580353       -0.578754      0.00171996
             433       -0.579812       -0.578757      0.00171599
             434       -0.579215       -0.578758      0.00171203
             435       -0.578564       -0.578757       0.0017081
             436       -0.577862       -0.578755      0.00170418
             437       -0.577106       -0.578751      0.00170028
             438       -0.576306       -0.578746      0.00169641
             439       -0.575472       -0.578738      0.00169256
             440       -0.574595       -0.578729      0.00168874
             441        -0.57369       -0.578717      0.00168495
             442        -0.57276       -0.578704      0.00168119
             443       -0.571812       -0.578688      0.00167747
             444       -0.570855       -0.578671      0.00167379
             445       -0.569895       -0.578651      0.00167014
             446        -0.56894       -0.578629      0.00166654
             447       -0.567998       -0.578606      0.00166298
             448       -0.567071        -0.57858      0.00165947
             449       -0.566173       -0.578552        0.001656
             450       -0.565312       -0.578523      0.00165258
             451       -0.564489       -0.578492      0.00164921
             452       -0.563714       -0.578459      0.00164589
