#          BLOCK:      ACTUAL_KE:         KE_AVE:          ERROR:
             616         2.19959         2.17724      0.00125538
             617         2.19929         2.17728      0.00125386
             618         2.19899         2.17731      0.00125232
             619         2.19868         2.17735      0.00125077
             620         2.19837         2.17738      0.00124922
             621         2.19805         2.17741      0.00124765
             622         2.19772         2.17745      0.00124607
             623         2.19739         2.17748      0.00124448
             624         2.19705         2.17751      0.00124288
             625         2.19671         2.17754      0.00124127
             626         2.19636         2.17757      0.00123965
             627         2.19601          2.1776      0.00123802
             628         2.19565         2.17763      0.00123639
             629          2.1953         2.17766      0.00123474
             630         2.19494         2.17769      0.00123308
             631         2.19457         2.17771      0.00123142
             632         2.19421         2.17774      0.00122975
             633         2.19384         2.17776      0.00122807
             634         2.19347         2.17779      0.00122638
             635          2.1931         2.17781      0.00122469
             636         2.19273         2.17784      0.00122299
             637         2.19235         2.17786      0.00122128
             638         2.19197         2.17788      0.00121956
             639          2.1916          2.1779      0.00121784
             640         2.19121         2.17792      0.00121612
             641         2.19083         2.17794      0.00121439
             642         2.19044         2.17796      0.00121265
             643         2.19006         2.17798      0.00121091
             644         2.18967           2.178      0.00120917
             645         2.18927         2.17802      0.00120742
             646         2.18887         2.17803      0.00120567
             647         2.18847         2.17805      0.00120391
             648         2.18807         2.17807      0.00120215
             649         2.18766         2.17808      0.00120039
             650         2.18724         2.17809      0.00119863
             651         2.18682         2.17811      0.00119686
             652          2.1864         2.17812      0.00119509
             653         2.18597         2.17813      0.00119332
             654         2.18553         2.17814      0.00119155
             655         2.18508         2.17815      0.00118978
             656         2.18463         2.17816      0.00118801
             657         2.18417         2.17817      0.00118624
             658          2.1837         2.17818      0.00118446
             659         2.18322         2.17819      0.00118269
             660         2.18273          2.1782      0.00118092
             661         2.18223          2.1782      0.00117915
             662         2.18172         2.17821      0.00117738
             663          2.1812         2.17821      0.00117561
             664         2.18067         2.17822      0.00117385
             665         2.18012         2.17822      0.00117208
             666         2.17957         2.17822      0.00117033
             667           2.179         2.17822      0.00116857
             668         2.17842         2.17822      0.00116682
             669         2.17782         2.17822      0.00116508
             670         2.17722         2.17822      0.00116334
             671          2.1766         2.17822      0.00116161
             672         2.17597         2.17821      0.00115989
             673         2.17532         2.17821      0.00115817
             674         2.17466          2.1782      0.00115646
             675         2.17399          2.1782      0.00115477
             676         2.17331         2.17819      0.00115308
             677         2.17261         2.17818      0.00115141
             678         2.17191         2.17817      0.00114975
             679         2.17119         2.17816       0.0011481
             680         2.17046         2.17815      0.00114647
             681         2.16973         2.17814      0.00114485
             682         2.16898         2.17813      0.00114325
             683         2.16823         2.17811      0.00114167
             684         2.16747          2.1781      0.00114011
             685         2.16671         2.17808      0.00113856
             686         2.16595         2.17806      0.00113704
             687         2.16518         2.17804      0.00113554
             688         2.16442         2.17802      0.00113406
             689         2.16365           2.178      0.00113261
             690         2.16289         2.17798      0.00113118
             691         2.16214         2.17796      0.00112977
             692         2.16139         2.17793      0.00112839
             693         2.16065         2.17791      0.00112704
