#          BLOCK:      ACTUAL_TE:         TE_AVE:          ERROR:
             343         1.59671         1.59664     6.13013e-05
             344         1.59674         1.59664     6.11238e-05
             345         1.59679         1.59665      6.0948e-05
             346         1.59683         1.59665     6.07742e-05
             347         1.59687         1.59665     6.06026e-05
             348         1.59691         1.59665     6.04333e-05
             349         1.59695         1.59665     6.02665e-05
             350         1.59699         1.59665     6.01024e-05
             351         1.59703         1.59665     5.99409e-05
             352         1.59707         1.59665     5.97823e-05
             353         1.59709         1.59665     5.96261e-05
             354         1.59713         1.59665      5.9473e-05
             355         1.59717         1.59666     5.93233e-05
             356          1.5972         1.59666     5.91767e-05
             357         1.59724         1.59666     5.90333e-05
             358         1.59727         1.59666     5.88933e-05
             359         1.59731         1.59666     5.87569e-05
             360         1.59734         1.59666     5.86238e-05
             361         1.59737         1.59667     5.84944e-05
             362         1.59741         1.59667     5.83688e-05
             363         1.59744         1.59667     5.82468e-05
             364         1.59747         1.59667     5.81282e-05
             365          1.5975         1.59667     5.80136e-05
             366         1.59753         1.59668     5.79025e-05
             367         1.59756         1.59668     5.77947e-05
             368         1.59759         1.59668     5.76908e-05
             369         1.59762         1.59668     5.75905e-05
             370         1.59765         1.59669     5.74942e-05
             371         1.59768         1.59669     5.74019e-05
             372         1.59771         1.59669      5.7313e-05
             373         1.59774          1.5967      5.7228e-05
             374         1.59777          1.5967      5.7147e-05
             375          1.5978          1.5967     5.70703e-05
             376         1.59783          1.5967     5.69971e-05
             377         1.59786         1.59671     5.69276e-05
             378         1.59788         1.59671     5.68612e-05
             379          1.5979         1.59671     5.67979e-05
             380         1.59792         1.59672     5.67375e-05
             381         1.59795         1.59672     5.66802e-05
             382         1.59797         1.59672      5.6626e-05
             383         1.59799         1.59673     5.65742e-05
             384           1.598         1.59673     5.65247e-05
             385         1.59802         1.59673     5.64769e-05
             386         1.59803         1.59674     5.64302e-05
             387         1.59804         1.59674     5.63848e-05
             388         1.59804         1.59674     5.63394e-05
             389         1.59804         1.59675      5.6293e-05
             390         1.59804         1.59675     5.62458e-05
             391         1.59803         1.59675     5.61968e-05
             392         1.59801         1.59676     5.61446e-05
             393         1.59799         1.59676     5.60891e-05
             394         1.59796         1.59676       5.603e-05
             395         1.59793         1.59677     5.59665e-05
             396          1.5979         1.59677     5.58985e-05
             397         1.59786         1.59677     5.58255e-05
             398         1.59782         1.59677     5.57474e-05
             399         1.59777         1.59678     5.56636e-05
             400         1.59772         1.59678     5.55745e-05
             401         1.59767         1.59678       5.548e-05
             402         1.59761         1.59678     5.53805e-05
             403         1.59755         1.59678      5.5276e-05
             404         1.59749         1.59679     5.51667e-05
             405         1.59743         1.59679     5.50531e-05
             406         1.59737         1.59679     5.49359e-05
             407         1.59731         1.59679     5.48157e-05
             408         1.59725         1.59679     5.46927e-05
             409         1.59719         1.59679     5.45677e-05
             410         1.59714         1.59679      5.4441e-05
             411         1.59709         1.59679     5.43132e-05
             412         1.59704         1.59679     5.41847e-05
             413         1.59699          1.5968     5.40556e-05
             414         1.59696          1.5968     5.39266e-05
             415         1.59694          1.5968     5.37977e-05
             416         1.59691          1.5968     5.36691e-05
             417         1.59689          1.5968     5.35409e-05
             418         1.59689          1.5968     5.34132e-05
             419         1.59688          1.5968     5.32862e-05
             420         1.59689          1.5968     5.31598e-05
             421          1.5969          1.5968     5.30341e-05
             422         1.59692          1.5968     5.29092e-05
             423         1.59695          1.5968     5.27853e-05
             424         1.59698          1.5968     5.26625e-05
             425         1.59701          1.5968     5.25411e-05
             426         1.59706          1.5968     5.24213e-05
             427          1.5971          1.5968     5.23034e-05
             428         1.59715          1.5968     5.21877e-05
             429          1.5972          1.5968     5.20745e-05
             430         1.59726          1.5968     5.19642e-05
             431         1.59732          1.5968     5.18572e-05
             432         1.59737         1.59681     5.17539e-05
             433         1.59743         1.59681     5.16548e-05
             434         1.59749         1.59681       5.156e-05
