#T      BLOCK:   ACTUAL_X:      X_AVE:      ERROR:
            0.72              19         22.2891         22.2187        0.246893
            0.72              20         21.1484         22.1652        0.240279
            0.74               1          19.849          19.849               0
            0.74               2         19.0024         19.4257        0.299331
            0.74               3         20.0819         19.6444        0.267794
            0.74               4          19.874         19.7018        0.206904
            0.74               5         18.9266         19.5468        0.215943
            0.74               6         20.8221         19.7593        0.264633
            0.74               7         20.3597         19.8451        0.240324
            0.74               8         21.4155         20.0414        0.279169
            0.74               9         19.4403         19.9746        0.256014
            0.74              10         20.3927         20.0164        0.233802
            0.74              11         21.6664         20.1664        0.256184
            0.74              12         19.6637         20.1245        0.238236
            0.74              13         20.3086         20.1387         0.22033
            0.74              14         20.4755         20.1627        0.205902
            0.74              15         19.8317         20.1407        0.193354
            0.74              16          20.053         20.1352        0.181347
            0.74              17         17.0606         19.9543        0.244779
            0.74              18         21.0891         20.0174        0.239161
            0.74              19         19.5973         19.9953        0.227593
            0.74              20         20.5248         20.0217        0.217748
            0.76               1          18.181          18.181               0
            0.76               2         18.4334         18.3072       0.0892266
            0.76               3         19.1379         18.5841        0.233769
            0.76               4         17.7372         18.3724        0.253688
            0.76               5         17.8556          18.269         0.22301
            0.76               6         18.1989         18.2573        0.186148
            0.76               7         17.1741         18.1026        0.214439
            0.76               8         17.9401         18.0823        0.188594
            0.76               9         19.7215         18.2644        0.239978
            0.76              10         18.6764         18.3056        0.219489
            0.76              11         17.7738         18.2573         0.20479
            0.76              12         18.9743          18.317        0.196248
            0.76              13         19.7241         18.4253        0.208877
            0.76              14         19.3351         18.4902        0.203816
            0.76              15         17.4709         18.4223        0.201238
            0.76              16         17.8658         18.3875        0.191642
            0.76              17         17.2761         18.3221        0.191196
            0.76              18          18.167         18.3135        0.180768
            0.76              19         18.1321          18.304        0.171506
            0.76              20         18.2386         18.3007        0.162962
            0.78               1         16.0813         16.0813               0
            0.78               2          17.259         16.6701        0.416386
            0.78               3         17.3268          16.889        0.330147
            0.78               4         16.9327         16.8999        0.247791
            0.78               5         17.5056         17.0211        0.225911
            0.78               6         16.3657         16.9118        0.213034
            0.78               7         16.6843         16.8793        0.185063
            0.78               8         16.0168         16.7715        0.190772
            0.78               9         16.5162         16.7432        0.171671
            0.78              10         17.1694         16.7858        0.159707
            0.78              11         16.3373          16.745        0.150303
            0.78              12         16.8832         16.7565        0.138218
            0.78              13         16.4249          16.731        0.129918
            0.78              14         17.5734         16.7912        0.133848
            0.78              15         16.4183         16.7663        0.127212
            0.78              16         16.9681         16.7789        0.119885
            0.78              17         16.4835         16.7615        0.114085
            0.78              18         17.1495         16.7831        0.109764
            0.78              19         16.8596         16.7871        0.104061
            0.78              20         16.6977         16.7827       0.0989538
             0.8               1         15.4003         15.4003               0
             0.8               2         14.6885         15.0444        0.251673
             0.8               3         15.0168         15.0352         0.16795
             0.8               4         15.8004         15.2265        0.208124
             0.8               5         14.5973         15.1007        0.200972
             0.8               6         14.6655         15.0281        0.180089
