#T      BLOCK:  ACTUAL_CV:     CV_AVE:      ERROR:
            0.84               2        0.428802        0.439948      0.00788131
            0.84               3        0.445672        0.441856      0.00548028
            0.84               4        0.446192         0.44294      0.00421606
            0.84               5        0.434353        0.441222      0.00370619
            0.84               6        0.437399        0.440585      0.00314281
            0.84               7        0.435528        0.439863      0.00277563
            0.84               8         0.42799        0.438379      0.00279744
            0.84               9        0.439856        0.438543      0.00249142
            0.84              10        0.427435        0.437432      0.00247757
            0.84              11        0.445058        0.438125      0.00234734
            0.84              12        0.440154        0.438294      0.00215781
            0.84              13        0.440688        0.438479      0.00199967
            0.84              14         0.44092        0.438653      0.00186442
            0.84              15        0.440057        0.438747      0.00174248
            0.84              16        0.450376        0.439473      0.00177872
            0.84              17         0.45241        0.440234      0.00182964
            0.84              18        0.421149        0.439174      0.00201189
            0.84              19        0.452935        0.439898      0.00203219
            0.84              20        0.439608        0.439884      0.00193063
            0.86               1         0.42647         0.42647               0
            0.86               2        0.442807        0.434639       0.0057759
            0.86               3         0.44413        0.437802      0.00463686
            0.86               4        0.442009        0.438854      0.00359493
            0.86               5        0.442014        0.439486      0.00293098
            0.86               6        0.447693        0.440854      0.00274313
            0.86               7        0.449849        0.442139      0.00263513
            0.86               8        0.450154        0.443141      0.00248891
            0.86               9        0.439046        0.442686      0.00225356
            0.86              10        0.433437        0.441761      0.00220987
            0.86              11        0.438749        0.441487      0.00202586
            0.86              12        0.441201        0.441463      0.00185718
            0.86              13        0.429639        0.440554       0.0019242
            0.86              14        0.443442         0.44076      0.00179779
            0.86              15        0.435766        0.440427      0.00170849
            0.86              16         0.44136        0.440485       0.0016027
            0.86              17        0.444356        0.440713      0.00152452
            0.86              18        0.433176        0.440294      0.00149622
            0.86              19          0.4276        0.439626      0.00155953
            0.86              20        0.438272        0.439559      0.00148303
            0.88               1        0.437134        0.437134               0
            0.88               2        0.436561        0.436847     0.000202482
            0.88               3         0.44567        0.439788      0.00240501
            0.88               4        0.445225        0.441147      0.00215383
            0.88               5        0.437275        0.440373      0.00185709
            0.88               6        0.431667        0.438922      0.00203698
            0.88               7        0.438094        0.438804      0.00174941
            0.88               8        0.435962        0.438448      0.00156639
            0.88               9        0.425586        0.437019      0.00193756
            0.88              10        0.436935        0.437011      0.00174382
            0.88              11        0.433771        0.436716      0.00160998
            0.88              12        0.427003        0.435907      0.00166691
            0.88              13        0.450043        0.436994      0.00185985
            0.88              14        0.441554         0.43732      0.00175529
            0.88              15        0.437159        0.437309       0.0016383
            0.88              16        0.439312        0.437434      0.00154068
            0.88              17        0.435914        0.437345      0.00145265
            0.88              18        0.435375        0.437236      0.00137606
            0.88              19        0.448281        0.437817      0.00142114
            0.88              20        0.439182        0.437885      0.00135172
             0.9               1        0.441749        0.441749               0
             0.9               2        0.445709        0.443729      0.00139996
             0.9               3        0.439621        0.442359      0.00145643
             0.9               4        0.433639        0.440179      0.00218123
             0.9               5         0.44688        0.441519      0.00211697
             0.9               6        0.435699        0.440549      0.00197391
             0.9               7        0.441146        0.440635      0.00169377
             0.9               8        0.441563        0.440751      0.00148602
             0.9               9        0.433382        0.439932      0.00152993
             0.9              10        0.435737        0.439512       0.0014333
             0.9              11        0.437031        0.439287      0.00132064
             0.9              12        0.441305        0.439455      0.00122125
             0.9              13        0.443303        0.439751      0.00116263
             0.9              14        0.447767        0.440324      0.00121239
             0.9              15        0.429718        0.439617      0.00132174
             0.9              16        0.430503        0.439047      0.00135631
             0.9              17        0.437921        0.438981      0.00127815
             0.9              18        0.435753        0.438801      0.00121966
             0.9              19        0.434669        0.438584      0.00117469
             0.9              20        0.440755        0.438692      0.00112096
            0.92               1        0.441037        0.441037               0
            0.92               2        0.443284        0.442161     0.000794387
            0.92               3        0.432823        0.439048      0.00259607
            0.92               4        0.431885        0.437257      0.00248915
            0.92               5        0.436188        0.437043      0.00200048
            0.92               6        0.427666        0.435481      0.00219419
            0.92               7        0.430252        0.434734      0.00200384
            0.92               8        0.437473        0.435076      0.00178239
            0.92               9        0.435632        0.435138      0.00158541
            0.92              10         0.43172        0.434796      0.00146325
            0.92              11        0.436532        0.434954      0.00133871
            0.92              12        0.430064        0.434546      0.00128768
            0.92              13        0.437577        0.434779      0.00120955
            0.92              14        0.443836        0.435426      0.00128454
            0.92              15        0.425078        0.434736      0.00137169
            0.92              16        0.434848        0.434743      0.00128598
            0.92              17        0.434228        0.434713      0.00121069
            0.92              18        0.428002         0.43434      0.00119946
            0.92              19        0.432252         0.43423      0.00114136
            0.92              20         0.43198        0.434118      0.00108982
            0.94               1        0.426415        0.426415               0
            0.94               2        0.426072        0.426243     0.000121357
            0.94               3        0.429447        0.427311     0.000875521
            0.94               4        0.435416        0.429337      0.00187353
            0.94               5        0.426021        0.428674      0.00161195
            0.94               6        0.434951         0.42972       0.0016482
            0.94               7        0.416076        0.427771      0.00229182
            0.94               8        0.429746        0.428018      0.00201859
            0.94               9        0.428862        0.428112      0.00179648
            0.94              10        0.430616        0.428362      0.00163419
            0.94              11        0.428465        0.428372      0.00148566
            0.94              12         0.42703         0.42826      0.00136606
            0.94              13        0.420367        0.427653      0.00138935
            0.94              14        0.420501        0.427142      0.00138081
            0.94              15        0.433122         0.42754      0.00134508
            0.94              16        0.421777         0.42718      0.00130836
            0.94              17        0.438167        0.427826      0.00138184
            0.94              18        0.429092        0.427897      0.00130686
            0.94              19        0.427747        0.427889       0.0012381
            0.94              20        0.432801        0.428135      0.00120031
            0.96               1        0.427543        0.427543               0
            0.96               2         0.42444        0.425991      0.00109711
            0.96               3         0.42291        0.424964      0.00111273
            0.96               4         0.42954        0.426108      0.00129539
            0.96               5         0.42708        0.426303      0.00105079
            0.96               6        0.422821        0.425722      0.00102344
            0.96               7        0.435494        0.427118      0.00156198
            0.96               8        0.428186        0.427252      0.00137243
            0.96               9        0.423494        0.426834      0.00128188
            0.96              10        0.417133        0.425864      0.00147583
            0.96              11        0.431929        0.426415      0.00144099
            0.96              12        0.429825          0.4267      0.00134863
            0.96              13        0.439584        0.427691      0.00156732
            0.96              14        0.425204        0.427513       0.0014654
            0.96              15        0.430336        0.427701      0.00137974
            0.96              16        0.428702        0.427764      0.00129492
            0.96              17           0.426         0.42766      0.00122289
            0.96              18        0.421481        0.427317      0.00120217
            0.96              19        0.427912        0.427348      0.00113931
            0.96              20        0.422604        0.427111      0.00110676
            0.98               1        0.423887        0.423887               0
            0.98               2        0.434023        0.428955      0.00358361
            0.98               3         0.42155        0.426487      0.00312552
            0.98               4        0.430257        0.427429       0.0024822
            0.98               5        0.413746        0.424693      0.00315199
            0.98               6        0.424883        0.424724      0.00262682
            0.98               7        0.424616        0.424709       0.0022516
            0.98               8        0.428845        0.425226      0.00202866
            0.98               9        0.426818        0.425403      0.00181095
            0.98              10        0.425672         0.42543      0.00163005
            0.98              11        0.427399        0.425609      0.00149166
            0.98              12        0.417259        0.424913        0.001521
            0.98              13        0.427508        0.425113      0.00141704
            0.98              14        0.421198        0.424833      0.00134312
            0.98              15        0.425466        0.424875      0.00125424
            0.98              16        0.434616        0.425484      0.00131534
