#T      BLOCK:   ACTUAL_M:      M_AVE:      ERROR:
            0.84              11        0.233919        0.243262      0.00784512
            0.84              12        0.228468        0.242029      0.00728758
            0.84              13        0.288653        0.245616      0.00755816
            0.84              14        0.239502        0.245179       0.0070309
            0.84              15        0.288741        0.248083       0.0071368
            0.84              16        0.247788        0.248065      0.00669078
            0.84              17        0.311084        0.251772       0.0072518
            0.84              18        0.253702        0.251879      0.00684971
            0.84              19        0.250081        0.251784      0.00648985
            0.84              20        0.213012        0.249846      0.00644841
            0.86               1        0.218012        0.218012               0
            0.86               2        0.258354        0.238183       0.0142632
            0.86               3        0.232362        0.236243      0.00963984
            0.86               4         0.22022        0.232237      0.00801911
            0.86               5        0.218951         0.22958      0.00684136
            0.86               6        0.239282        0.231197      0.00588911
            0.86               7        0.198631        0.226545      0.00663568
            0.86               8          0.2403        0.228264      0.00602486
            0.86               9        0.234145        0.228917      0.00539075
            0.86              10         0.18716        0.224742      0.00626352
            0.86              11        0.232364        0.225435      0.00573231
            0.86              12        0.220022        0.224984      0.00527233
            0.86              13        0.217947        0.224442      0.00489447
            0.86              14        0.210712        0.223462      0.00464208
            0.86              15        0.235447        0.224261      0.00440083
            0.86              16        0.212687        0.223537       0.0041848
            0.86              17         0.24606        0.224862      0.00414305
            0.86              18        0.232401        0.225281      0.00393399
            0.86              19         0.20168        0.224039      0.00391813
            0.86              20        0.209058         0.22329      0.00379314
            0.88               1        0.209362        0.209362               0
            0.88               2        0.194773        0.202067      0.00515823
            0.88               3        0.231075        0.211737      0.00861123
            0.88               4        0.224312         0.21488      0.00700885
            0.88               5        0.179231         0.20775      0.00849165
            0.88               6        0.203501        0.207042      0.00710584
            0.88               7        0.209967         0.20746        0.006103
            0.88               8        0.201913        0.206767      0.00537936
            0.88               9        0.195479        0.205513       0.0049257
            0.88              10         0.20757        0.205718      0.00443742
            0.88              11        0.230347        0.207957      0.00456404
            0.88              12        0.238767        0.210525      0.00485244
            0.88              13        0.190909        0.209016      0.00470793
            0.88              14        0.228776        0.210427      0.00457834
            0.88              15        0.235774        0.212117      0.00457432
            0.88              16        0.208638          0.2119      0.00429359
            0.88              17        0.201575        0.211292      0.00408376
            0.88              18        0.213785        0.211431      0.00385923
            0.88              19        0.220481        0.211907      0.00368539
            0.88              20        0.238324        0.213228      0.00373032
             0.9               1        0.198615        0.198615               0
             0.9               2        0.192933        0.195774      0.00200878
             0.9               3        0.188285        0.193278      0.00243864
             0.9               4        0.198883        0.194679      0.00219502
             0.9               5        0.228257        0.201395      0.00625808
             0.9               6        0.197429        0.200734      0.00524985
             0.9               7        0.217786         0.20317      0.00503344
             0.9               8        0.232777        0.206871      0.00560198
             0.9               9        0.216629        0.207955      0.00508338
             0.9              10        0.189185        0.206078      0.00490935
             0.9              11        0.202982        0.205797       0.0044711
             0.9              12        0.221827        0.207132      0.00429344
             0.9              13        0.250615        0.210477      0.00510232
             0.9              14        0.218098        0.211022      0.00476682
             0.9              15        0.207904        0.210814      0.00445356
             0.9              16        0.196753        0.209935      0.00426104
             0.9              17        0.185759        0.208513      0.00424107
             0.9              18        0.194713        0.207746      0.00407416
             0.9              19        0.180092        0.206291       0.0041115
             0.9              20        0.181788        0.205065      0.00408438
            0.92               1        0.187599        0.187599               0
            0.92               2        0.199862        0.193731      0.00433581
            0.92               3        0.184343        0.190601       0.0038579
            0.92               4        0.170338        0.185536      0.00525533
            0.92               5        0.184464        0.185321      0.00420863
            0.92               6        0.173643        0.183375      0.00393157
            0.92               7        0.200639        0.185841       0.0040706
            0.92               8        0.202515        0.187925      0.00406043
            0.92               9        0.191644        0.188339      0.00363024
            0.92              10        0.178022        0.187307      0.00341066
            0.92              11        0.159058        0.184739      0.00395083
            0.92              12        0.185397        0.184794      0.00362198
            0.92              13        0.192165        0.185361      0.00338746
            0.92              14        0.156888        0.183327      0.00370605
            0.92              15        0.199621        0.184413      0.00361467
            0.92              16        0.176898        0.183944      0.00341913
            0.92              17        0.182991        0.183888      0.00321847
            0.92              18         0.18742        0.184084      0.00304564
            0.92              19        0.208892         0.18539      0.00315282
