#T      BLOCK:   ACTUAL_M:      M_AVE:      ERROR:
             0.8              10        0.292222          0.2934      0.00260113
             0.8              11        0.324311         0.29621      0.00357353
             0.8              12        0.284927         0.29527      0.00339719
             0.8              13        0.309393        0.296356      0.00330501
             0.8              14        0.304901        0.296967      0.00312478
             0.8              15        0.293787        0.296755      0.00292364
             0.8              16        0.303243         0.29716       0.0027689
             0.8              17        0.309233        0.297871      0.00269555
             0.8              18        0.328767        0.299587      0.00304362
             0.8              19        0.303671        0.299802      0.00289101
             0.8              20        0.284293        0.299026      0.00284857
            0.82               1        0.283821        0.283821               0
            0.82               2        0.247793        0.265807       0.0127377
            0.82               3        0.247624        0.259746      0.00982853
            0.82               4          0.2625        0.260435      0.00739548
            0.82               5        0.282056        0.264759      0.00706842
            0.82               6        0.284024         0.26797      0.00657934
            0.82               7         0.26979         0.26823      0.00564457
            0.82               8           0.231        0.263576      0.00658362
            0.82               9        0.261208        0.263313      0.00585736
            0.82              10         0.27539        0.264521      0.00539469
            0.82              11        0.291416        0.266966      0.00543015
            0.82              12        0.237149        0.264481      0.00551689
            0.82              13         0.24777        0.263196      0.00524013
            0.82              14        0.266301        0.263417      0.00487052
            0.82              15        0.263391        0.263416      0.00454582
            0.82              16        0.284526        0.264735      0.00444906
            0.82              17        0.276816        0.265446      0.00424372
            0.82              18        0.261216        0.265211      0.00401446
            0.82              19        0.268418        0.265379      0.00380672
            0.82              20        0.283349        0.266278      0.00372091
            0.84               1        0.232703        0.232703               0
            0.84               2        0.247542        0.240122      0.00524612
            0.84               3         0.26694        0.249062      0.00809354
            0.84               4         0.25745        0.251159      0.00633604
            0.84               5        0.277218        0.256371      0.00688649
            0.84               6         0.24813        0.254997       0.0058741
            0.84               7        0.228965        0.251278       0.0060996
            0.84               8        0.263367         0.25279      0.00552116
            0.84               9        0.253966         0.25292      0.00490924
            0.84              10        0.237194        0.251348      0.00466342
            0.84              11        0.255893        0.251761      0.00425774
            0.84              12        0.234246        0.250301      0.00414557
            0.84              13         0.23572         0.24918      0.00397552
            0.84              14        0.239442        0.248484      0.00375191
            0.84              15        0.272869         0.25011      0.00383786
            0.84              16        0.231071         0.24892      0.00377797
            0.84              17        0.221025        0.247279      0.00389581
            0.84              18        0.242227        0.246998      0.00368947
            0.84              19        0.274592        0.248451      0.00377032
            0.84              20         0.25063         0.24856      0.00358338
            0.86               1        0.230165        0.230165               0
            0.86               2        0.212565        0.221365      0.00622253
            0.86               3        0.239551        0.227427      0.00645811
            0.86               4         0.23485        0.229283      0.00510326
            0.86               5        0.221051        0.227636      0.00434008
            0.86               6        0.243362        0.230257      0.00433653
            0.86               7        0.244838         0.23234      0.00418747
            0.86               8         0.21418         0.23007      0.00423486
            0.86               9        0.240236          0.2312      0.00391204
            0.86              10        0.224156        0.230495       0.0035837
            0.86              11        0.226384        0.230122      0.00327734
            0.86              12        0.232699        0.230336      0.00301126
            0.86              13        0.214413        0.229111      0.00301849
            0.86              14        0.245171        0.230259      0.00301297
            0.86              15        0.241221        0.230989      0.00289939
            0.86              16        0.234782        0.231226      0.00272785
            0.86              17        0.239365        0.231705      0.00260907
            0.86              18        0.244434        0.232412      0.00255816
            0.86              19        0.218242        0.231667       0.0025299
            0.86              20        0.233865        0.231776       0.0024058
            0.88               1        0.201552        0.201552               0
            0.88               2        0.222177        0.211865      0.00729215
            0.88               3        0.187007        0.203579      0.00833101
            0.88               4        0.208451        0.204797       0.0063367
            0.88               5        0.206087        0.205055      0.00507461
            0.88               6        0.211657        0.206155      0.00434651
            0.88               7        0.200682        0.205373      0.00379525
            0.88               8        0.222248        0.207483      0.00386277
            0.88               9        0.192707        0.205841      0.00376634
            0.88              10        0.216988        0.206956      0.00355083
            0.88              11        0.209102        0.207151      0.00323339
            0.88              12        0.195992        0.206221      0.00309477
            0.88              13        0.224861        0.207655      0.00317155
            0.88              14        0.226752        0.209019      0.00322505
            0.88              15        0.221664        0.209862      0.00311827
            0.88              16        0.227076        0.210938      0.00310343
            0.88              17        0.218746        0.211397      0.00295467
            0.88              18        0.209473         0.21129      0.00279245
            0.88              19        0.212811         0.21137      0.00264663
            0.88              20        0.242953        0.212949      0.00294798
             0.9               1        0.196289        0.196289               0
             0.9               2        0.191853        0.194071      0.00156859
             0.9               3        0.189589        0.192577      0.00160682
             0.9               4        0.204261        0.195498      0.00280209
             0.9               5        0.198821        0.196162      0.00231914
             0.9               6        0.183104        0.193986      0.00277171
             0.9               7        0.206317        0.195748      0.00288166
             0.9               8        0.198225        0.196057      0.00253804
             0.9               9        0.198563        0.196336      0.00227126
             0.9              10        0.208164        0.197519      0.00233188
             0.9              11        0.188685        0.196716      0.00225392
             0.9              12        0.202729        0.197217      0.00212107
             0.9              13        0.189761        0.196643      0.00203397
             0.9              14         0.20544        0.197271      0.00198336
             0.9              15        0.205002        0.197787      0.00191693
             0.9              16        0.184417        0.196951      0.00197086
             0.9              17        0.206105         0.19749      0.00192708
             0.9              18        0.204927        0.197903       0.0018638
             0.9              19          0.2142        0.198761      0.00195313
             0.9              20        0.200889        0.198867      0.00185837
            0.92               1        0.202686        0.202686               0
            0.92               2         0.19715        0.199918      0.00195709
            0.92               3        0.177524        0.192453      0.00623297
            0.92               4        0.178641           0.189      0.00554939
            0.92               5        0.201976        0.191596      0.00500973
            0.92               6         0.20005        0.193005      0.00436844
            0.92               7        0.173569        0.190228      0.00454183
            0.92               8        0.188868        0.190058      0.00397729
            0.92               9         0.17498        0.188383      0.00387218
            0.92              10        0.181087        0.187653      0.00355303
