#T      BLOCK:   ACTUAL_X:      X_AVE:      ERROR:
            0.86              18         11.3958         11.8167       0.0723388
            0.86              19         12.2534         11.8397         0.07209
            0.86              20         12.6407         11.8798       0.0788281
            0.88               1         10.6751         10.6751               0
            0.88               2         10.9723         10.8237        0.105079
            0.88               3         11.1604          10.936        0.115356
            0.88               4         11.1303         10.9845       0.0962042
            0.88               5          11.047          10.997       0.0777696
            0.88               6         10.9485         10.9889       0.0652267
            0.88               7         10.7089         10.9489       0.0670637
            0.88               8         10.7692         10.9265       0.0623317
            0.88               9         11.1355         10.9497        0.059577
            0.88              10         10.7343         10.9281       0.0573819
            0.88              11         10.5761         10.8961       0.0604333
            0.88              12         10.9362         10.8995       0.0554894
            0.88              13         11.1338         10.9175         0.05407
            0.88              14         10.9555         10.9202       0.0502757
            0.88              15         10.6081         10.8994       0.0510492
            0.88              16         11.4557         10.9342        0.058511
            0.88              17         11.0122         10.9388       0.0552491
            0.88              18         10.3215         10.9045       0.0619148
            0.88              19         11.2813         10.9243       0.0617511
            0.88              20         11.6149         10.9588       0.0676325
             0.9               1         10.3525         10.3525               0
             0.9               2         11.0786         10.7155          0.2567
             0.9               3         10.3453         10.5921        0.198592
             0.9               4            9.92         10.4241        0.208232
             0.9               5         10.3045         10.4002        0.167953
             0.9               6         10.3201         10.3868         0.14049
             0.9               7         10.4733         10.3992        0.120961
             0.9               8         9.76553           10.32        0.129198
             0.9               9         9.87044           10.27        0.124123
             0.9              10         10.2224         10.2653        0.111802
             0.9              11           10.27         10.2657        0.101639
             0.9              12         10.5025         10.2854       0.0950658
             0.9              13         10.5974         10.3094       0.0907322
             0.9              14         10.4989          10.323       0.0852549
             0.9              15         9.99963         10.3014       0.0822511
             0.9              16         10.2936         10.3009       0.0771119
             0.9              17         10.4872         10.3119         0.07335
             0.9              18         10.5942         10.3276        0.070932
             0.9              19          10.528         10.3381       0.0679789
             0.9              20         10.1195         10.3272       0.0654525
            0.92               1          9.3298          9.3298               0
            0.92               2         9.95743         9.64362        0.221901
            0.92               3         9.81378         9.70034        0.155014
            0.92               4         9.73401         9.70875        0.116489
            0.92               5          9.7143         9.70986       0.0931962
            0.92               6         9.46616         9.66925       0.0860603
            0.92               7         9.72722         9.67753       0.0741634
            0.92               8         9.50159         9.65554       0.0680757
            0.92               9         9.42075         9.62945       0.0653192
            0.92              10         9.14349         9.58085       0.0747083
            0.92              11         8.98128         9.52635       0.0855194
            0.92              12         9.38255         9.51436       0.0792279
            0.92              13         9.68936         9.52782       0.0742682
            0.92              14         9.54448         9.52901       0.0689729
            0.92              15         9.17623          9.5055       0.0682668
            0.92              16          9.1483         9.48317       0.0675519
            0.92              17         9.52361         9.48555       0.0636201
            0.92              18         9.38956         9.48022       0.0603088
            0.92              19         9.04469         9.45729       0.0613363
            0.92              20         9.33936          9.4514       0.0585523
            0.94               1         9.17663         9.17663               0
            0.94               2          8.9368         9.05671       0.0847942
            0.94               3         8.96324         9.02556       0.0619903
            0.94               4         8.89892          8.9939       0.0539754
            0.94               5         8.85049         8.96521       0.0502261
            0.94               6         9.12133         8.99123       0.0481247
            0.94               7          8.9036         8.97871       0.0428471
            0.94               8         8.68821          8.9424       0.0505908
            0.94               9         9.09309         8.95914       0.0476597
            0.94              10         8.91405         8.95464       0.0431065
            0.94              11         8.75694         8.93666       0.0427704
            0.94              12          9.0357         8.94492       0.0399945
            0.94              13         9.44373         8.98329       0.0521722
            0.94              14         8.91912          8.9787       0.0486465
            0.94              15         8.99725         8.97994       0.0454191
            0.94              16          8.8579         8.97231       0.0432162
            0.94              17         8.62347         8.95179       0.0452845
            0.94              18         9.26628         8.96926       0.0460159
            0.94              19         9.33137         8.98832       0.0473766
            0.94              20         9.01483         8.98965       0.0450263
            0.96               1         8.49366         8.49366               0
            0.96               2         8.11888         8.30627        0.132506
            0.96               3         8.42757          8.3467        0.094305
            0.96               4         8.21744         8.31439       0.0760647
            0.96               5         8.49508         8.35053       0.0689039
            0.96               6         8.13032         8.31383       0.0664794
            0.96               7         8.56473         8.34967       0.0659406
            0.96               8         8.66124         8.38861        0.068237
            0.96               9         8.53338          8.4047       0.0625223
            0.96              10         8.51472          8.4157       0.0572298
            0.96              11          8.6101         8.43337       0.0546878
            0.96              12         8.48506         8.43768       0.0502998
            0.96              13         8.46176         8.43953       0.0464647
            0.96              14         8.22145         8.42396       0.0456824
            0.96              15            8.08         8.40103       0.0480484
            0.96              16         8.14224         8.38485         0.04769
            0.96              17          8.2425         8.37648       0.0456139
            0.96              18         8.20403          8.3669       0.0440743
            0.96              19         8.42361         8.36988       0.0418556
            0.96              20          8.4098         8.37188       0.0398104
            0.98               1         7.96461         7.96461               0
            0.98               2         7.57131         7.76796        0.139052
            0.98               3         7.88014         7.80535          0.0976
            0.98               4         8.06745         7.87088       0.0926192
            0.98               5         7.79614         7.85593        0.075292
            0.98               6         7.93764         7.86955       0.0639631
            0.98               7         7.92944          7.8781       0.0553949
            0.98               8         7.51586         7.83282       0.0643695
            0.98               9         7.95299         7.84618       0.0585858
            0.98              10          7.9019         7.85175       0.0529915
            0.98              11         7.87161         7.85355       0.0482049
            0.98              12         7.64707         7.83635       0.0471589
            0.98              13         7.89858         7.84113       0.0437735
            0.98              14         7.81173         7.83903       0.0406972
            0.98              15         7.78624         7.83551       0.0381359
            0.98              16         7.96301         7.84348       0.0365754
            0.98              17          7.7496         7.83796       0.0348384
            0.98              18         7.64043         7.82699       0.0345882
            0.98              19         7.66131         7.81827        0.033849
            0.98              20         8.01832         7.82827        0.033602
               1               1         7.43648         7.43648               0
               1               2         7.52683         7.48166       0.0319469
               1               3           7.391         7.45144       0.0325939
               1               4         7.39819         7.43813       0.0270274
               1               5         7.27568         7.40564         0.03622
               1               6         7.67336         7.45026       0.0506976
               1               7         8.02554         7.53244       0.0876219
               1               8          6.9654         7.46156        0.101362
               1               9         7.41684         7.45659       0.0902211
               1              10         7.48553         7.45949       0.0812454
               1              11         7.25279          7.4407       0.0760013
               1              12         7.66207         7.45914        0.071872
               1              13         7.25879         7.44373       0.0679757
               1              14          7.6034         7.45514       0.0640699
               1              15         7.46063          7.4555       0.0597996
               1              16         7.28801         7.44503        0.056971
               1              17         7.14559         7.42742       0.0562769
               1              18         7.45248         7.42881       0.0531676
               1              19         7.20704         7.41714       0.0516347
               1              20         7.88959         7.44076       0.0541878
            1.02               1         7.01309         7.01309               0
            1.02               2         6.70507         6.85908        0.108901
            1.02               3         6.94705          6.8884       0.0764474
            1.02               4         6.76351         6.85718       0.0633924
            1.02               5         6.96116         6.87797       0.0540173
            1.02               6         7.03718         6.90451       0.0511179
            1.02               7         6.91103         6.90544       0.0438238
            1.02               8           6.925         6.90788        0.038414
            1.02               9         6.73227         6.88837        0.038786
            1.02              10         6.91743         6.89128       0.0350161
            1.02              11         6.82991          6.8857       0.0322743
            1.02              12         6.89059         6.88611       0.0295873
            1.02              13          7.1066         6.90307       0.0318034
            1.02              14         7.07741         6.91552       0.0318767
            1.02              15          7.0487          6.9244       0.0309633
            1.02              16         6.90639         6.92327       0.0290485
            1.02              17          6.8052         6.91633       0.0281578
            1.02              18         6.96079          6.9188       0.0267016
            1.02              19         6.83363         6.91432       0.0256698
            1.02              20         7.09413         6.92331        0.025913
            1.04               1         6.70755         6.70755               0
            1.04               2         6.40826          6.5579        0.105813
            1.04               3         6.50309         6.53963       0.0721025
            1.04               4         6.86692         6.62145       0.0891371
            1.04               5         6.42897         6.58296       0.0791872
            1.04               6         6.55189         6.57778       0.0661584
            1.04               7         6.47625         6.56328       0.0582753
            1.04               8         6.69903         6.58025       0.0534043
            1.04               9         6.71708         6.59545       0.0495876
            1.04              10          6.6094         6.59685       0.0446485
            1.04              11         6.76599         6.61222       0.0431562
            1.04              12         6.57186         6.60886       0.0396907
            1.04              13         6.49214         6.59988       0.0376394
            1.04              14         6.53475         6.59523       0.0352372
            1.04              15         6.60797         6.59608       0.0328983
            1.04              16         6.53913         6.59252        0.031034
