#T:     ACCEPTANCE:
1.08        0.264784
1.08        0.264781
1.08        0.264746
1.08        0.264765
1.08        0.264861
1.08        0.264889
1.08        0.264938
1.08        0.264925
1.08        0.264789
1.08        0.264846
1.08        0.264869
1.08        0.264923
1.1        0.273557
1.1        0.272988
1.1        0.273376
1.1        0.273201
1.1        0.273327
1.1        0.273223
1.1         0.27314
1.1        0.272904
1.1        0.272945
1.1        0.272953
1.1        0.272991
1.1        0.272908
1.1        0.272808
1.1        0.272888
1.1        0.272897
1.1        0.272832
1.1        0.272867
1.1        0.272887
1.1        0.272874
1.1        0.272905
1.12        0.279906
1.12        0.280086
1.12        0.279999
1.12        0.280211
1.12        0.280198
1.12        0.280353
1.12        0.280442
1.12        0.280805
1.12        0.280783
1.12        0.280967
1.12        0.280866
1.12        0.280883
1.12         0.28092
1.12        0.280894
1.12        0.280813
1.12        0.280917
1.12        0.281025
1.12        0.281003
1.12        0.280994
1.12        0.281031
1.14        0.288944
1.14         0.28828
1.14        0.288538
1.14        0.288952
1.14        0.288945
1.14        0.288758
1.14        0.288668
1.14        0.288677
1.14        0.288759
1.14        0.288741
1.14        0.288827
1.14        0.288802
1.14        0.288743
1.14        0.288678
1.14         0.28876
1.14        0.288804
1.14        0.288843
1.14        0.288862
1.14        0.288932
1.14         0.28892
1.16         0.29677
1.16        0.296398
1.16        0.296199
1.16         0.29661
1.16        0.296741
1.16        0.296556
1.16        0.296589
1.16        0.296692
1.16        0.296769
1.16        0.296758
1.16        0.296629
1.16        0.296765
1.16        0.296799
1.16        0.296807
1.16        0.296817
1.16        0.296725
1.16        0.296613
1.16        0.296585
1.16        0.296575
1.16        0.296639
1.18        0.304874
1.18         0.30445
1.18        0.304497
1.18        0.304457
1.18        0.304506
1.18         0.30461
1.18        0.304587
1.18        0.304435
1.18        0.304388
1.18         0.30439
1.18        0.304443
1.18        0.304539
1.18        0.304439
1.18        0.304583
1.18        0.304502
1.18        0.304506
1.18        0.304498
1.18        0.304499
1.18        0.304473
1.18        0.304467
1.2        0.311171
1.2        0.311284
1.2        0.311535
1.2        0.311803
1.2        0.311956
1.2         0.31218
1.2        0.312085
1.2        0.312095
1.2        0.312093
1.2        0.311931
1.2        0.312046
1.2        0.311969
1.2        0.311859
1.2        0.311836
1.2        0.311761
1.2        0.311785
1.2        0.311862
1.2        0.311898
1.2        0.311855
1.2        0.311846
1.22        0.318498
1.22        0.319403
1.22        0.319309
1.22        0.319588
1.22        0.319441
1.22        0.319294
1.22        0.319277
1.22        0.319126
1.22        0.319089
1.22        0.318974
1.22        0.319111
1.22        0.318994
1.22         0.31901
1.22        0.319141
1.22        0.319188
1.22        0.319272
1.22        0.319274
1.22        0.319339
1.22        0.319348
1.22        0.319422
1.24        0.327175
1.24        0.326541
1.24        0.326484
1.24         0.32624
1.24        0.326107
1.24        0.326055
1.24        0.326224
1.24        0.326226
1.24        0.326325
1.24        0.326346
1.24        0.326393
1.24        0.326515
1.24        0.326517
1.24         0.32645
1.24        0.326417
1.24        0.326348
1.24        0.326315
1.24        0.326211
1.24        0.326159
1.24        0.326138
1.26        0.331888
1.26        0.332722
1.26        0.333105
1.26        0.333091
1.26        0.333198
1.26        0.333151
1.26        0.333151
1.26        0.333289
1.26        0.333525
1.26        0.333529
1.26        0.333469
1.26        0.333483
1.26        0.333458
1.26        0.333535
1.26        0.333524
1.26        0.333463
1.26         0.33341
1.26        0.333417
1.26        0.333489
1.26        0.333477
1.28        0.341175
1.28        0.340036
1.28        0.340491
1.28        0.340476
1.28        0.340372
1.28        0.340781
1.28        0.340867
1.28        0.340768
1.28        0.340646
1.28        0.340755
1.28        0.340765
1.28        0.340788
1.28        0.340795
1.28        0.340824
1.28        0.340866
1.28        0.340883
1.28        0.340885
1.28        0.340819
1.28        0.340736
1.28        0.340731
1.3        0.347716
1.3        0.348294
1.3        0.347495
1.3        0.347771
1.3        0.347477
1.3        0.347589
1.3        0.347673
1.3        0.347503
1.3        0.347654
1.3        0.347879
1.3        0.347892
1.3        0.348015
1.3        0.348013
1.3        0.347944
1.3        0.347895
1.3        0.347876
1.3        0.347821
1.3        0.347809
1.3        0.347865
1.3        0.347912
1.32           0.354
1.32        0.354436
1.32        0.354697
1.32        0.354698
1.32        0.354657
1.32        0.354988
1.32        0.354938
1.32        0.354876
1.32        0.354922
1.32        0.354983
1.32        0.354975
1.32        0.355026
1.32        0.354982
1.32        0.355052
1.32        0.354921
1.32        0.354845
1.32        0.354832
1.32        0.354886
1.32        0.354931
1.32         0.35495
1.34        0.362964
1.34        0.362356
1.34        0.362106
1.34        0.361929
1.34         0.36171
1.34        0.361607
1.34        0.361498
1.34        0.361483
1.34         0.36151
1.34        0.361562
1.34         0.36161
1.34        0.361786
1.34        0.361807
1.34        0.361846
1.34        0.361862
1.34        0.361807
1.34        0.361696
1.34        0.361774
1.34        0.361754
1.34        0.361781
1.36        0.369638
1.36        0.368671
1.36        0.368444
1.36        0.368403
1.36        0.368271
1.36        0.368306
1.36        0.368465
1.36        0.368397
1.36         0.36855
1.36        0.368431
1.36        0.368284
1.36        0.368126
1.36        0.368086
1.36          0.3681
1.36        0.368065
1.36         0.36814
1.36        0.368086
1.36        0.368197
1.36        0.368214
